"","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","April 29 2017
Pier A,
April 29, 2017"
Total number of live oysters at baseline,1,,1,11,6,,21,,21,11,2,10,,2,3
Total mass of live oysters at baseline (g),,,,,,,8,,8,,,5,,,
Total number of live oysters on shell,0,0,0,3,1,2,21,0,13,0,1,10,0,1,0
Total mass of scrubbed substrate shell + oysters + tag (g),0,0,0,21,28,0,80,0,79.4,20.8,,0,0,0,0
Measurements (mm),,,,"25,15,25",26.4,"45,26","20,20,15,18,15,16,18,25,18,16,18,17,20,18,12,20,20,18,18,12,12",,"15.1,10.1,14.6,18.6,16,16,15.4,21.1,21.1,18.6,20.1,16.3,20.1",,65.01,"5.6,3.3,4.3,3.2,3.5,6.2,5.1,3.6,5,3.5",,64.63,
Minimum size of live oysters (mm),0,,,15,26.4,26,12,0,10.1,16,65.01,3.2,,64.63,0
Maximum size of live oysters (mm),0,,,25,26.4,45,25,0,21.1,20,65.01,6.2,,64.63,0
Average size of live oysters (mm),0,,,21.666666666666668,26.4,35.5,17.428571428571427,0,17.161538461538463,18,65.01,4.33,,64.63,0
Substrate Shell #4,,,,,,,,,,,,,,,
Outer side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/b27050d209856392399088439fd4aeb9.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/853c099099c4146b31bf724ff2889d8d.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c8412c2956a010a8db2a4b0069b13fe3.JPG
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates66a1177402d35200eebc4e794ff31668.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates4157af51dd43905c2cc7f2bfb6d77c5d.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates2dc8d3efb3aa1412dd4efae2bc724dd5.JPG
Set date,2/2/17,,2/2/17,7/14/15,6/9/16,,7/31/15,7/15/15,7/31/15,7/14/15,1/1/70,10/20/16,,1/1/70,8/13/16
Source,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Bronx River, New York",,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,1,,1,,7,,21,,21,,2,9,,2,3
Total mass of live oysters at baseline (g),75.9,,75.9,,,,6.3,,6.3,,,5,,,
Total number of live oysters on shell,2,0,1,3,2,2,21,5,35,0,2,10,0,2,4
Total mass of scrubbed substrate shell + oysters + tag (g),159.5,0,75.9,41,54,0,63,0,62.2,,0,0,0,0,0
Measurements (mm),"57,83",,75,"30,30,40","60,51","65,30","28,23,20,20,20,20,15,21,18,8,18,15,17,13,16,20,10,17,25,15,23","80,67,46,51,53","29,16,21,7,9,18,2,25,27,26,8,9,5,16,19,13,20,3,12,19,7,6,6,12,22,10,10,7,11,21,20,24,9,24,14",,"76.9,89.3","5.7,4.5,4.9,2.8,7,3.2,4.8,4.5,4.5,2.9",,"45.64,61.94","56,57,32,19"
Minimum size of live oysters (mm),57,,75,30,51,30,8,46,2,0,76.9,2.8,,45.64,19
Maximum size of live oysters (mm),83,,75,40,60,65,28,80,29,0,89.3,7,,61.94,57
Average size of live oysters (mm),70,,75,33.333333333333336,55.5,47.5,18.19047619047619,59.4,14.485714285714286,0,83.1,4.4799999999999995,,53.79,41
Substrate Shell #5,,,,,,,,,,,,,,,
Outer side photo,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/4af30495adec23691b6f625fba34fecc.PNG,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/3063b63e6f60644c95fa918c6f168f6d.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/3c172b7fc493841ea3ad483c367f3503.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/d4ab46077554554243053ed5a7cedbfb.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/ed5c69ea235bbddefa613f0094ea341e.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/1f3480cfb812b9b20af2f269be7b7a03.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/5df76d2c4aada975854c3baf40d9f626.JPG
Inner side photo,,,,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesc3629dea468215ffa2c0bdf8b73fe0e2.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesa47aa1edfca151b54476940509c0b46b.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates1e850c21dc3eaa756aa6b3c84f663290.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesce5d0166cea0add60b03028f183a34f5.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates102cdcba3bcede9ba2d123fef846544a.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates6fc6af89abeff803db1290566b85905e.JPG
Set date,,2/7/17,,,6/9/16,,7/31/15,7/15/15,7/31/15,,1/1/70,12/12/16,,1/1/70,8/13/16
Source,,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine",,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,"Muscongus Bay, Maine",Harlem river,,"Muscongus Bay, Maine","Muscongus Bay, Maine"
Total number of live oysters at baseline,,,,,9,,8,,8,,5,9,,5,5
Total mass of live oysters at baseline (g),,,,,,,8.4,,8.4,,,7,,,
Total number of live oysters on shell,1,3,0,3,1,0,8,6,1,1,2,10,0,2,1
Total mass of scrubbed substrate shell + oysters + tag (g),29.5,77.9,0,41,32,0,84,0,76.2,10.9,0,0,0,0,0
Measurements (mm),,"41.4,37.2,38.6",,"30,10,40",50.8,,"26,20,38,27,30,28,41,40","69,81,68,29,58,21",35,13,"86.44,91.07","6.6,5.3,3.4,3,3.4,4.5,5.2,4.3,5.2,6.7",,"59.63,53.38",30
